volt    param        param
         1/lx8(mp)     -i(mp)
1.54300     1.274e+08    1.057e-08
1.54200     1.242e+08    1.084e-08
1.54100     1.210e+08    1.112e-08
1.54000     1.180e+08    1.141e-08
1.53900     1.151e+08    1.171e-08
1.53800     1.122e+08    1.202e-08
1.53700     1.094e+08    1.233e-08
1.53600     1.066e+08    1.265e-08
1.53500     1.040e+08    1.298e-08
1.53400     1.014e+08    1.332e-08
1.53300     9.889e+07    1.367e-08
1.53200     9.643e+07    1.402e-08
1.53100     9.402e+07    1.439e-08
1.53000     9.168e+07    1.476e-08
1.52900     8.940e+07    1.514e-08
1.52800     8.718e+07    1.554e-08
1.52700     8.501e+07    1.594e-08
1.52600     8.290e+07    1.635e-08
1.52500     8.085e+07    1.678e-08
1.52400     7.884e+07    1.721e-08
1.52300     7.689e+07    1.766e-08
1.52200     7.498e+07    1.812e-08
1.52100     7.313e+07    1.858e-08
1.52000     7.132e+07    1.906e-08
1.51900     6.956e+07    1.956e-08
1.51800     6.784e+07    2.006e-08
1.51700     6.617e+07    2.058e-08
1.51600     6.454e+07    2.111e-08
1.51500     6.295e+07    2.165e-08
1.51400     6.140e+07    2.221e-08
1.51300     5.989e+07    2.278e-08
1.51200     5.841e+07    2.337e-08
1.51100     5.698e+07    2.397e-08
1.51000     5.558e+07    2.459e-08
1.50900     5.422e+07    2.522e-08
1.50800     5.289e+07    2.587e-08
1.50700     5.159e+07    2.653e-08
1.50600     5.033e+07    2.721e-08
1.50500     4.910e+07    2.791e-08
1.50400     4.790e+07    2.863e-08
1.50300     4.673e+07    2.936e-08
1.50200     4.559e+07    3.011e-08
1.50100     4.448e+07    3.088e-08
1.50000     4.340e+07    3.167e-08
1.49900     4.234e+07    3.248e-08
1.49800     4.131e+07    3.331e-08
1.49700     4.031e+07    3.415e-08
1.49600     3.933e+07    3.503e-08
1.49500     3.838e+07    3.592e-08
1.49400     3.745e+07    3.683e-08
1.49300     3.654e+07    3.777e-08
1.49200     3.566e+07    3.873e-08
1.49100     3.480e+07    3.971e-08
1.49000     3.396e+07    4.072e-08
1.48900     3.314e+07    4.175e-08
1.48800     3.234e+07    4.281e-08
1.48700     3.156e+07    4.390e-08
1.48600     3.080e+07    4.501e-08
1.48500     3.006e+07    4.615e-08
1.48400     2.934e+07    4.731e-08
1.48300     2.863e+07    4.851e-08
1.48200     2.795e+07    4.973e-08
1.48100     2.728e+07    5.099e-08
1.48000     2.662e+07    5.227e-08
1.47900     2.599e+07    5.359e-08
1.47800     2.537e+07    5.494e-08
1.47700     2.476e+07    5.632e-08
1.47600     2.417e+07    5.773e-08
1.47500     2.360e+07    5.918e-08
1.47400     2.303e+07    6.067e-08
1.47300     2.249e+07    6.219e-08
1.47200     2.195e+07    6.375e-08
1.47100     2.143e+07    6.534e-08
1.47000     2.092e+07    6.698e-08
1.46900     2.043e+07    6.865e-08
1.46800     1.994e+07    7.037e-08
1.46700     1.947e+07    7.212e-08
1.46600     1.901e+07    7.392e-08
1.46500     1.856e+07    7.576e-08
1.46400     1.812e+07    7.765e-08
1.46300     1.770e+07    7.958e-08
1.46200     1.728e+07    8.156e-08
1.46100     1.687e+07    8.358e-08
1.46000     1.648e+07    8.566e-08
1.45900     1.609e+07    8.778e-08
1.45800     1.571e+07    8.996e-08
1.45700     1.535e+07    9.218e-08
1.45600     1.499e+07    9.446e-08
1.45500     1.464e+07    9.680e-08
1.45400     1.429e+07    9.919e-08
1.45300     1.396e+07    1.016e-07
1.45200     1.364e+07    1.041e-07
1.45100     1.332e+07    1.067e-07
1.45000     1.301e+07    1.093e-07
1.44900     1.271e+07    1.120e-07
1.44800     1.241e+07    1.148e-07
1.44700     1.212e+07    1.176e-07
1.44600     1.184e+07    1.205e-07
1.44500     1.157e+07    1.234e-07
1.44400     1.130e+07    1.264e-07
1.44300     1.104e+07    1.295e-07
1.44200     1.078e+07    1.327e-07
1.44100     1.053e+07    1.360e-07
1.44000     1.029e+07    1.393e-07
1.43900     1.005e+07    1.427e-07
1.43800     9.828e+06    1.461e-07
1.43700     9.602e+06    1.497e-07
1.43600     9.381e+06    1.533e-07
1.43500     9.166e+06    1.571e-07
1.43400     8.956e+06    1.609e-07
1.43300     8.751e+06    1.648e-07
1.43200     8.551e+06    1.688e-07
1.43100     8.356e+06    1.728e-07
1.43000     8.165e+06    1.770e-07
1.42900     7.979e+06    1.813e-07
1.42800     7.797e+06    1.857e-07
1.42700     7.620e+06    1.902e-07
1.42600     7.447e+06    1.947e-07
1.42500     7.278e+06    1.994e-07
1.42400     7.112e+06    2.042e-07
1.42300     6.951e+06    2.091e-07
1.42200     6.794e+06    2.142e-07
1.42100     6.640e+06    2.193e-07
1.42000     6.490e+06    2.246e-07
1.41900     6.343e+06    2.299e-07
1.41800     6.200e+06    2.354e-07
1.41700     6.060e+06    2.411e-07
1.41600     5.924e+06    2.468e-07
1.41500     5.791e+06    2.527e-07
1.41400     5.661e+06    2.587e-07
1.41300     5.533e+06    2.649e-07
1.41200     5.409e+06    2.712e-07
1.41100     5.288e+06    2.777e-07
1.41000     5.170e+06    2.842e-07
1.40900     5.054e+06    2.910e-07
1.40800     4.941e+06    2.979e-07
1.40700     4.831e+06    3.049e-07
1.40600     4.723e+06    3.122e-07
1.40500     4.618e+06    3.195e-07
1.40400     4.515e+06    3.271e-07
1.40300     4.414e+06    3.348e-07
1.40200     4.316e+06    3.427e-07
1.40100     4.221e+06    3.508e-07
1.40000     4.127e+06    3.590e-07
1.39900     4.035e+06    3.675e-07
1.39800     3.946e+06    3.761e-07
1.39700     3.859e+06    3.849e-07
1.39600     3.774e+06    3.940e-07
1.39500     3.690e+06    4.032e-07
1.39400     3.609e+06    4.126e-07
1.39300     3.529e+06    4.223e-07
1.39200     3.452e+06    4.322e-07
1.39100     3.376e+06    4.422e-07
1.39000     3.302e+06    4.526e-07
1.38900     3.229e+06    4.631e-07
1.38800     3.159e+06    4.739e-07
1.38700     3.089e+06    4.849e-07
1.38600     3.022e+06    4.962e-07
1.38500     2.956e+06    5.077e-07
1.38400     2.891e+06    5.195e-07
1.38300     2.828e+06    5.315e-07
1.38200     2.767e+06    5.438e-07
1.38100     2.707e+06    5.564e-07
1.38000     2.648e+06    5.692e-07
1.37900     2.590e+06    5.823e-07
1.37800     2.534e+06    5.958e-07
1.37700     2.479e+06    6.095e-07
1.37600     2.426e+06    6.235e-07
1.37500     2.373e+06    6.379e-07
