amps        rds          id
1.8197e-06    9.342e+05    1.820e-06
1.8621e-06    9.129e+05    1.862e-06
1.9055e-06    8.921e+05    1.905e-06
1.9498e-06    8.718e+05    1.950e-06
1.9953e-06    8.520e+05    1.995e-06
2.0417e-06    8.326e+05    2.042e-06
2.0893e-06    8.136e+05    2.089e-06
2.1380e-06    7.951e+05    2.138e-06
2.1878e-06    7.770e+05    2.188e-06
2.2387e-06    7.593e+05    2.239e-06
2.2909e-06    7.420e+05    2.291e-06
2.3442e-06    7.251e+05    2.344e-06
2.3988e-06    7.086e+05    2.399e-06
2.4547e-06    6.925e+05    2.455e-06
2.5119e-06    6.767e+05    2.512e-06
2.5704e-06    6.613e+05    2.570e-06
2.6303e-06    6.463e+05    2.630e-06
2.6915e-06    6.316e+05    2.692e-06
2.7542e-06    6.172e+05    2.754e-06
2.8184e-06    6.031e+05    2.818e-06
2.8840e-06    5.894e+05    2.884e-06
2.9512e-06    5.760e+05    2.951e-06
3.0200e-06    5.629e+05    3.020e-06
3.0903e-06    5.501e+05    3.090e-06
3.1623e-06    5.375e+05    3.162e-06
3.2359e-06    5.253e+05    3.236e-06
3.3113e-06    5.133e+05    3.311e-06
3.3884e-06    5.017e+05    3.388e-06
3.4674e-06    4.902e+05    3.467e-06
3.5481e-06    4.791e+05    3.548e-06
3.6308e-06    4.682e+05    3.631e-06
3.7154e-06    4.575e+05    3.715e-06
3.8019e-06    4.471e+05    3.802e-06
3.8905e-06    4.369e+05    3.890e-06
3.9811e-06    4.270e+05    3.981e-06
4.0738e-06    4.173e+05    4.074e-06
4.1687e-06    4.078e+05    4.169e-06
4.2658e-06    3.985e+05    4.266e-06
4.3652e-06    3.894e+05    4.365e-06
4.4668e-06    3.805e+05    4.467e-06
4.5709e-06    3.719e+05    4.571e-06
4.6774e-06    3.634e+05    4.677e-06
4.7863e-06    3.551e+05    4.786e-06
4.8978e-06    3.471e+05    4.898e-06
5.0119e-06    3.391e+05    5.012e-06
5.1286e-06    3.314e+05    5.129e-06
5.2481e-06    3.239e+05    5.248e-06
5.3703e-06    3.165e+05    5.370e-06
5.4954e-06    3.093e+05    5.495e-06
5.6234e-06    3.023e+05    5.623e-06
5.7544e-06    2.954e+05    5.754e-06
5.8884e-06    2.887e+05    5.888e-06
6.0256e-06    2.821e+05    6.026e-06
6.1660e-06    2.757e+05    6.166e-06
6.3096e-06    2.694e+05    6.310e-06
6.4565e-06    2.633e+05    6.457e-06
6.6069e-06    2.573e+05    6.607e-06
6.7608e-06    2.514e+05    6.761e-06
6.9183e-06    2.457e+05    6.918e-06
7.0795e-06    2.401e+05    7.079e-06
7.2444e-06    2.346e+05    7.244e-06
7.4131e-06    2.293e+05    7.413e-06
7.5858e-06    2.241e+05    7.586e-06
7.7625e-06    2.190e+05    7.762e-06
7.9433e-06    2.140e+05    7.943e-06
8.1283e-06    2.091e+05    8.128e-06
8.3176e-06    2.043e+05    8.318e-06
8.5114e-06    1.997e+05    8.511e-06
8.7096e-06    1.951e+05    8.710e-06
8.9125e-06    1.907e+05    8.913e-06
9.1201e-06    1.864e+05    9.120e-06
9.3325e-06    1.821e+05    9.333e-06
9.5499e-06    1.780e+05    9.550e-06
9.7724e-06    1.739e+05    9.772e-06
1.0000e-05    1.700e+05    1.000e-05
